Product Title,Price,Compare At Price,Cost Price,Stock Qty,Low Stock Threshold,Category,Sub Category,Brand,Warehouse,SKU,Barcode,Image URL,Gallery Image URLs,Video URL,Color,Size,Material,Weight (kg),Dimensions (L x W x H),GST Rate,HSN Code,Country of Origin,Is Featured,Is Active,Tags,Short Description,Description,Highlights,Box Contents,Meta Title,Meta Description
"Sony WH-1000XM5 Studio Headphones",24999,29999,16500,50,10,Electronics,Wireless Headphones,Sony,Electronics FC Delhi,https://images.unsplash.com/photo-1505740420928-5e560c06d30e?w=800,"https://images.unsplash.com/photo-1484704849700-f032a568e944?w=800|https://images.unsplash.com/photo-1546435770-a3e426bf472b?w=800",https://youtube.com/watch?v=sample1,Silver White,Over-Ear,Anodized Aluminum,0.25,"20 x 18 x 7 cm",18,85183000,Japan,TRUE,TRUE,audio|tech|wireless,"Studio quality ANC headphones","Active noise cancellation with 40-hour battery life and spatial audio.","40hr Battery|Active ANC|Multipoint Pairing","Headphones|Carrying Case|Audio Cable|USB-C Cable","Sony WH-1000XM5 ANC Headphones","Buy Sony WH-1000XM5 wireless studio headphones at best price."
"OnePlus Nord 6 5G (12GB+256GB)",44499,52999,32000,35,10,Mobiles,Flagship Smartphones,OnePlus,Mobiles FC Mumbai,https://images.unsplash.com/photo-1511707171634-5f897ff02aa9?w=800,"https://images.unsplash.com/photo-1523206489230-c012c64b2047?w=800",https://youtube.com/watch?v=sample2,Pitch Black,256GB,Gorilla Glass Victus 2,0.19,"16.3 x 7.5 x 0.8 cm",18,85171200,India,TRUE,TRUE,mobiles|5g|oneplus,"165FPS gaming & 9000mAh battery","Snapdragon 8s Gen 4 processor with ultra fast 100W SUPERVOOC charging.","165FPS Gaming|9000mAh Battery|100W SUPERVOOC","Handset|100W Charger|Type-C Cable|SIM Ejector","OnePlus Nord 6 5G Smartphone","Buy OnePlus Nord 6 5G flagship phone."
"Apple Watch Series 9 GPS 45mm Midnight",41900,44900,31000,20,5,Watches,Smartwatches,Apple,Watches FC Bangalore,https://images.unsplash.com/photo-1508685096489-7aacd43bd3b1?w=800,"https://images.unsplash.com/photo-1523275335684-37898b6baf30?w=800",https://youtube.com/watch?v=sample3,Midnight,45mm,Recycled Aluminum,0.05,"4.5 x 3.8 x 1.0 cm",18,91021200,China,TRUE,TRUE,watches|apple|tech,"Always-On Retina display & S9 SiP","Advanced health sensors with ECG, Blood Oxygen monitoring, and double-tap gesture control.","S9 SiP Chip|Double Tap Gesture|ECG Monitor","Apple Watch|Sport Band|Magnetic Fast Charger","Apple Watch Series 9 GPS 45mm","Buy Apple Watch Series 9 at best price."
"Nike Air Force 1 07 Triple White Sneakers",7495,8995,4800,25,8,Footwear,Sneakers,Nike,Footwear FC Chennai,https://images.unsplash.com/photo-1595950653106-6c9ebd614d3a?w=800,"https://images.unsplash.com/photo-1542291026-7eec264c27ff?w=800",https://youtube.com/watch?v=sample4,Triple White,UK 9,Genuine Leather,0.85,"32 x 20 x 12 cm",18,64039990,Vietnam,TRUE,TRUE,shoes|sneakers|nike,"Classic white leather basketball sneakers","Iconic basketball shoes crafted with stitched leather overlays and responsive Nike Air cushioning.","Real Stitched Leather|Air Cushioning|Non-Marking Rubber Sole","Sneakers Pair|Authenticity Card","Nike Air Force 1 07 Sneakers","Buy authentic Nike Air Force 1 sneakers."
"Apple MacBook Air M2 13.6-inch Space Grey",99990,114900,79000,15,5,Laptops,Laptops & MacBooks,Apple,Laptops FC Hyderabad,https://images.unsplash.com/photo-1517336714731-489689fd1ca8?w=800,"https://images.unsplash.com/photo-1496181133206-80ce9b88a853?w=800",https://youtube.com/watch?v=sample5,Space Grey,13.6-inch,Unibody Aluminum,1.24,"30.4 x 21.5 x 1.1 cm",18,84713010,China,TRUE,TRUE,laptops|apple|macbook,"Liquid Retina Display & 18hr battery","Strikingly thin design with M2 chip 8-core CPU, 10-core GPU, and MagSafe charging.","Apple M2 Chip|18hr Battery Life|MagSafe 3 Port","MacBook Air|35W Dual USB-C Adapter|USB-C to MagSafe 3 Cable","Apple MacBook Air M2 13.6-inch","Buy Apple MacBook Air M2 at best discount."
"boAt Rockerz 450 Pro Bluetooth Headphones",1499,3990,850,80,15,Electronics,Wireless Headphones,boAt,Electronics FC Delhi,https://images.unsplash.com/photo-1546435770-a3e426bf472b?w=800,"https://images.unsplash.com/photo-1505740420928-5e560c06d30e?w=800",https://youtube.com/watch?v=sample6,Luscious Black,Standard,ABS Plastic,0.18,"18 x 15 x 6 cm",18,85183000,India,TRUE,TRUE,audio|boat|bluetooth,"70 Hours Playback & ASAP Charge","40mm dynamic drivers with super extra bass and 10 mins charge = 10 hours playtime.","70hr Playback|40mm Drivers|ASAP Fast Charge","Rockerz 450 Pro|Type-C Cable|User Manual","boAt Rockerz 450 Pro Headphones","Buy boAt Rockerz 450 Pro Bluetooth headphones."
"Noise ColorFit Pro 5 Smartwatch Jet Black",3499,5999,2100,60,10,Watches,Smartwatches,Noise,Watches FC Bangalore,https://images.unsplash.com/photo-1523275335684-37898b6baf30?w=800,"https://images.unsplash.com/photo-1508685096489-7aacd43bd3b1?w=800",https://youtube.com/watch?v=sample7,Jet Black,1.85-inch,Zinc Alloy,0.045,"4.4 x 3.7 x 1.1 cm",18,91021200,India,TRUE,TRUE,watches|noise|smartwatch,"1.85-inch AMOLED Display & BT Calling","Post-processing TruSync Bluetooth calling with 100+ sports modes and SOS contact emergency.","1.85 AMOLED Display|TruSync BT Calling|100+ Sports Modes","ColorFit Pro 5|Magnetic Charging Dock|User Guide","Noise ColorFit Pro 5 Smartwatch","Buy Noise ColorFit Pro 5 Smartwatch with AMOLED screen."
"Minimalist Heavyweight Graphic Tee 240 GSM",1299,1999,650,40,10,Fashion,Apparel & T-Shirts,E-COM,Fashion FC Kolkata,https://images.unsplash.com/photo-1521572267360-ee0c2909d518?w=800,"https://images.unsplash.com/photo-1489987707025-afc232f7ea0f?w=800",https://youtube.com/watch?v=sample8,Charcoal,L,100% Combed Cotton,0.28,"35 x 28 x 2 cm",12,61091000,India,TRUE,TRUE,fashion|apparel|tshirt,"100% Organic Cotton Oversized Fit","Heavyweight 240 GSM premium organic combed cotton with high-density screen-printed typography.","240 GSM Heavy Cotton|Pre-Shrunk Fabric|Oversized Fit","T-Shirt 1 Unit|Brand Tags","Minimalist Heavyweight Graphic T-Shirt","Buy premium oversized 240 GSM graphic t-shirt."
"RC 4K Camera Pro Toy Drone Quadcopter",3999,7999,2200,30,8,Electronics,Drones & RC Toys,E-COM,Electronics FC Delhi,https://images.unsplash.com/photo-1527977966376-1c8408f9f108?w=800,"https://images.unsplash.com/photo-1507582020474-9a35b7d455d9?w=800",https://youtube.com/watch?v=sample9,Matte Black,Foldable,Polycarbonate,0.45,"25 x 20 x 8 cm",18,95030090,China,TRUE,TRUE,electronics|drone|gadget,"4K UHD Camera with Optical Flow & Obstacle Avoidance","Foldable FPV quadcopter drone with 360-degree flip, altitude hold, and dual battery setup.","4K UHD Camera|Optical Flow Hover|Dual Batteries Included","Drone Body|Remote Controller|2x Batteries|Spare Propellers","RC 4K Camera Pro Toy Drone","Buy 4K UHD Camera Toy Drone Quadcopter."
"Winter Heavy Fleece Trench Jacket Black",3999,6999,2400,25,5,Fashion,Winterwear & Jackets,E-COM,Fashion FC Kolkata,https://images.unsplash.com/photo-1544441893-675973e31985?w=800,"https://images.unsplash.com/photo-1539533018447-63fcce2678e3?w=800",https://youtube.com/watch?v=sample10,Deep Black,XL,Wool Blend & Fleece,1.15,"40 x 30 x 8 cm",12,62011300,India,TRUE,TRUE,fashion|jacket|winter,"Sub-zero thermal insulated fleece lining","Windproof heavyweight trench jacket with faux-fur detachable hood and water-repellent shell.","Thermal Fleece Lined|Windproof Shell|Detachable Hood","Trench Jacket 1 Unit|Garment Bag","Winter Heavy Fleece Trench Jacket","Buy sub-zero thermal fleece lined trench jacket."
