Product Title,Price,Stock Quantity,Category,Warehouse,Image URL,SKU,Compare At Price,Brand,Sub Category,Tags,Short Description,Description,Highlights,Box Contents,HSN Code,Meta Title,Meta Description
"Sony WH-1000XM5 Studio Headphones",24999,50,Electronics,Electronics FC Delhi,https://images.unsplash.com/photo-1505740420928-5e560c06d30e?w=800,SONY-XM5-STUDIO,29999,Sony,Wireless Headphones,audio|tech|wireless,"Studio quality ANC headphones","Active noise cancellation with 40-hour battery life and spatial audio.","40hr Battery|Active ANC|Multipoint Pairing","Headphones|Carrying Case|Audio Cable|USB-C Cable",85183000,"Sony WH-1000XM5 ANC Headphones","Buy Sony WH-1000XM5 wireless studio headphones at best price."
"OnePlus Nord 6 5G (12GB+256GB)",44499,35,Mobiles,Mobiles FC Mumbai,https://images.unsplash.com/photo-1511707171634-5f897ff02aa9?w=800,ONEPLUS-NORD6-BLK,52999,OnePlus,Flagship Smartphones,mobiles|5g|oneplus,"165FPS gaming & 9000mAh battery","Snapdragon 8s Gen 4 processor with ultra fast 100W SUPERVOOC charging.","165FPS Gaming|9000mAh Battery|100W SUPERVOOC","Handset|100W Charger|Type-C Cable|SIM Ejector",85171200,"OnePlus Nord 6 5G Smartphone","Buy OnePlus Nord 6 5G flagship phone."
"Apple Watch Series 9 GPS 45mm Midnight",41900,20,Watches,Watches FC Bangalore,https://images.unsplash.com/photo-1508685096489-7aacd43bd3b1?w=800,APPLE-WATCH-S9-45,44900,Apple,Smartwatches,watches|apple|tech,"Always-On Retina display & S9 SiP","Advanced health sensors with ECG, Blood Oxygen monitoring, and double-tap gesture control.","S9 SiP Chip|Double Tap Gesture|ECG Monitor","Apple Watch|Sport Band|Magnetic Fast Charger",91021200,"Apple Watch Series 9 GPS 45mm","Buy Apple Watch Series 9 at best price."
"Nike Air Force 1 07 Triple White Sneakers",7495,25,Footwear,Footwear FC Chennai,https://images.unsplash.com/photo-1595950653106-6c9ebd614d3a?w=800,NIKE-AF1-WHITE-42,8995,Nike,Sneakers,shoes|sneakers|nike,"Classic white leather basketball sneakers","Iconic basketball shoes crafted with stitched leather overlays and responsive Nike Air cushioning.","Real Stitched Leather|Air Cushioning|Non-Marking Rubber Sole","Sneakers Pair|Authenticity Card",64039990,"Nike Air Force 1 07 Sneakers","Buy authentic Nike Air Force 1 sneakers."
"Apple MacBook Air M2 13.6-inch Space Grey",99990,15,Laptops,Laptops FC Hyderabad,https://images.unsplash.com/photo-1517336714731-489689fd1ca8?w=800,MACBOOK-AIR-M2-SG,114900,Apple,Laptops & MacBooks,laptops|apple|macbook,"Liquid Retina Display & 18hr battery","Strikingly thin design with M2 chip 8-core CPU, 10-core GPU, and MagSafe charging.","Apple M2 Chip|18hr Battery Life|MagSafe 3 Port","MacBook Air|35W Dual USB-C Adapter|USB-C to MagSafe 3 Cable",84713010,"Apple MacBook Air M2 13.6-inch","Buy Apple MacBook Air M2 at best discount."
"boAt Rockerz 450 Pro Bluetooth Headphones",1499,80,Electronics,Electronics FC Delhi,https://images.unsplash.com/photo-1546435770-a3e426bf472b?w=800,BOAT-R450-PRO,3990,boAt,Wireless Headphones,audio|boat|bluetooth,"70 Hours Playback & ASAP Charge","40mm dynamic drivers with super extra bass and 10 mins charge = 10 hours playtime.","70hr Playback|40mm Drivers|ASAP Fast Charge","Rockerz 450 Pro|Type-C Cable|User Manual",85183000,"boAt Rockerz 450 Pro Headphones","Buy boAt Rockerz 450 Pro Bluetooth headphones."
"Noise ColorFit Pro 5 Smartwatch Jet Black",3499,60,Watches,Watches FC Bangalore,https://images.unsplash.com/photo-1523275335684-37898b6baf30?w=800,NOISE-CFP5-BLK,5999,Noise,Smartwatches,watches|noise|smartwatch,"1.85-inch AMOLED Display & BT Calling","Post-processing TruSync Bluetooth calling with 100+ sports modes and SOS contact emergency.","1.85 AMOLED Display|TruSync BT Calling|100+ Sports Modes","ColorFit Pro 5|Magnetic Charging Dock|User Guide",91021200,"Noise ColorFit Pro 5 Smartwatch","Buy Noise ColorFit Pro 5 Smartwatch with AMOLED screen."
"Minimalist Heavyweight Graphic Tee 240 GSM",1299,40,Fashion,Fashion FC Kolkata,https://images.unsplash.com/photo-1521572267360-ee0c2909d518?w=800,MINIMALIST-TEE-L,1999,SKIPD,Apparel & T-Shirts,fashion|apparel|tshirt,"100% Organic Cotton Oversized Fit","Heavyweight 240 GSM premium organic combed cotton with high-density screen-printed typography.","240 GSM Heavy Cotton|Pre-Shrunk Fabric|Oversized Fit","T-Shirt 1 Unit|Brand Tags",61091000,"Minimalist Heavyweight Graphic T-Shirt","Buy premium oversized 240 GSM graphic t-shirt."
"RC 4K Camera Pro Toy Drone Quadcopter",3999,30,Electronics,Electronics FC Delhi,https://images.unsplash.com/photo-1527977966376-1c8408f9f108?w=800,RC-4K-DRONE-PRO,7999,SKIPD,Drones & RC Toys,electronics|drone|gadget,"4K UHD Camera with Optical Flow & Obstacle Avoidance","Foldable FPV quadcopter drone with 360-degree flip, altitude hold, and dual battery setup.","4K UHD Camera|Optical Flow Hover|Dual Batteries Included","Drone Body|Remote Controller|2x Batteries|Spare Propellers",95030090,"RC 4K Camera Pro Toy Drone","Buy 4K UHD Camera Toy Drone Quadcopter."
"Winter Heavy Fleece Trench Jacket Black",3999,25,Fashion,Fashion FC Kolkata,https://images.unsplash.com/photo-1544441893-675973e31985?w=800,WINTER-TRENCH-JKT,6999,SKIPD,Winterwear & Jackets,fashion|jacket|winter,"Sub-zero thermal insulated fleece lining","Windproof heavyweight trench jacket with faux-fur detachable hood and water-repellent shell.","Thermal Fleece Lined|Windproof Shell|Detachable Hood","Trench Jacket 1 Unit|Garment Bag",62011300,"Winter Heavy Fleece Trench Jacket","Buy sub-zero thermal fleece lined trench jacket."
